date,bench,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num,unit,frame,B1_Liv1,B2_Liv2,B1_Bry,B2_Syn,B1,B2,L2,L1,GA,Nostoc,DC,LC,Moss_unk,Mold,Peltula,Funaria,Moss,Volvox,Liv_unk
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,20,1,0,0,10,20,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,20,2,0,0,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,20,3,0,0,25,2,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,20,4,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,B2,0,0,BB,2,1,20,5,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,L2,BBL,3,2,21,1,0,0,2,10,2,10,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,L2,BBL,3,2,21,2,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,L2,BBL,3,2,21,3,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,L2,BBL,3,2,21,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,L2,BBL,3,2,21,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,22,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,22,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,22,4,0,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,L1,0,L,1,1,23,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,L1,0,L,1,1,23,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,L1,0,L,1,1,23,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,L1,0,L,1,1,23,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,L1,0,L,1,1,23,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,0,0,B,1,1,24,1,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,0,0,B,1,1,24,2,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,0,0,B,1,1,24,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,0,0,B,1,1,24,4,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,B1,0,0,0,B,1,1,24,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,L2,BLL,3,2,25,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,L2,BLL,3,2,25,2,0,0,0,8,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,L2,BLL,3,2,25,3,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,L2,BLL,3,2,25,4,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,L2,BLL,3,2,25,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,0,0,B,1,1,26,1,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,0,0,B,1,1,26,2,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,0,0,B,1,1,26,3,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,0,0,B,1,1,26,4,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,0,0,B,1,1,26,5,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,27,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,27,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,27,4,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,27,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,0,O,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
