bench,unit,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num_initial,1,2,3,4,5,6,7,8,9,10,11,12,13,hydrop,abs,veg,slakevalue,torvane,ugPO4,TotN,TotC,C_N,ugNH4,ugNO3
1,75,3,O,0,B2,L1,0,BL,2,2,47,47,47,47,46,46,46,46,46,45,45,45,45,0,1,L,6,0.15,1.859244302,0.0261,0.2623,10.0499,2.470336596,0.216861113
1,76,1,C,0,0,L1,L2,LL,2,1,72,71,70,69,68,68,67,66,65,64,64,63,62,0,2,0,6,0.85,NA,NA,NA,NA,NA,NA
1,77,1,C,0,B2,0,L2,BL,2,2,82,80,78,76,74,72,70,69,67,65,63,62,60,1,5,0,6,1,NA,NA,NA,NA,NA,NA
1,78,3,O,0,0,0,L2,L,1,1,75,75,74,74,74,74,74,74,73,73,73,73,73,1,5,DC,6,0.75,3.311110559,0.0344,0.3352,9.7514,1.8706794,0.113530722
1,79,3,O,B1,B2,L1,0,BBL,3,2,77,77,77,77,77,77,77,77,77,76,76,76,76,1,17,0,6,1.25,3.360587545,0.03,0.2703,9.0058,1.70653897,0.117770857
1,80,3,C,0,0,0,L2,L,1,1,83,83,83,82,82,81,81,80,80,79,79,78,77,1,5,0,6,1.4,NA,NA,NA,NA,NA,NA
1,81,3,O,0,0,L1,0,L,1,1,56,56,55,55,55,54,54,53,53,53,52,52,52,1,5,DC,6,0.75,NA,NA,NA,NA,NA,NA
1,82,3,C,0,B2,L1,L2,BLL,3,2,81,80,80,79,79,78,77,77,76,76,75,75,74,0,2,0,6,2.4,NA,NA,NA,NA,NA,NA
1,83,1,C,B1,B2,L1,0,BBL,3,2,82,80,78,75,73,71,70,68,66,65,64,63,61,1,4,0,5,2.3,NA,NA,NA,NA,NA,NA
1,84,3,O,0,0,0,0,O,0,0,42,41,40,39,38,37,36,35,35,34,34,33,32,0,3,0,6,1,2.445424833,0.0239,0.2209,9.2514,1.040269198,0.128787593
1,85,3,O,0,B2,0,0,B,1,1,76,76,76,76,76,75,75,75,75,75,75,75,75,1,6,DC,6,1.25,NA,NA,NA,NA,NA,NA
1,86,3,O,B1,B2,0,L2,BBL,3,2,79,78,78,78,77,77,77,77,76,76,76,75,75,1,15,DC,6,1.6,NA,NA,NA,NA,NA,NA
1,87,1,O,0,0,L1,0,L,1,1,59,59,58,57,57,56,55,55,54,5,453,52,52,0,1,LC,6,1.25,2.738791037,0.0252,0.2168,8.6033,2.804225,0.10794755
1,88,1,C,0,B2,0,L2,BL,2,2,79,75,72,69,66,65,62,61,59,58,56,55,53,0,2,M,6,1.7,NA,NA,NA,NA,NA,NA
1,89,3,O,B1,0,0,L2,BL,2,2,52,51,50,49,47,47,46,45,45,44,43,42,41,1,8,DC,6,0.75,2.515089447,0.0439,0.4411,10.0538,1.308766324,0.063331303
1,90,1,O,B1,0,0,0,B,1,1,84,82,80,79,78,77,77,76,75,74,73,73,72,0,0,DC,4,1.2,NA,NA,NA,NA,NA,NA
1,91,3,O,B1,0,0,0,B,1,1,62,62,62,61,61,61,61,60,60,60,60,59,59,1,19,DC,6,0.9,NA,NA,NA,NA,NA,NA
1,92,1,C,B1,B2,L1,L2,BBLL,4,2,82,80,79,79,78,78,77,76,75,74,73,72,72,1,9,M,6,2.75,1.3253609,0.0405,1.3515,33.3391,1.230401727,0.157853205
1,93,1,O,0,0,0,L2,L,1,1,71,71,71,70,70,70,69,69,69,69,68,67,67,0,1,LC,4,1.1,NA,NA,NA,NA,NA,NA
1,94,1,C,B1,0,L1,L2,BLL,3,2,65,64,64,63,62,61,61,60,59,58,58,57,57,1,7,DC,5,1.5,NA,NA,NA,NA,NA,NA
1,95,3,O,B1,0,0,L2,BL,2,2,44,44,44,44,44,44,44,44,44,44,44,44,44,0,4,DC,5,1,NA,NA,NA,NA,NA,NA
1,96,3,O,B1,B2,0,0,BB,2,1,73,73,73,73,72,72,72,71,71,71,71,70,70,1,85,LC,6,0.7,NA,NA,NA,NA,NA,NA
1,97,3,O,0,0,L1,L2,LL,2,1,84,83,83,82,82,82,81,81,80,80,79,79,79,0,2,DC,3,0.7,2.922577282,0.0312,0.3142,10.0867,1.224735321,0.090724961
1,98,1,C,B1,B2,L1,L2,BBLL,4,2,61,58,56,54,53,51,50,49,47,46,44,43,42,1,4,LC,5,2.25,NA,NA,NA,NA,NA,NA
1,99,1,O,0,0,L1,0,L,1,1,73,72,72,72,72,72,72,72,72,72,72,72,71,0,1,DC,6,0.5,NA,NA,NA,NA,NA,NA
1,100,3,O,0,0,0,L2,L,1,1,62,62,62,62,62,61,61,61,61,61,61,60,60,0,2,DC,6,0.75,1.128631616,0.0387,0.4223,10.9098,1.018719767,0.077680249
1,101,3,C,B1,B2,L1,L2,BBLL,4,2,52,51,50,50,49,48,48,47,47,46,45,45,44,1,5,LC,5,1,1.754732914,0.046,1.5035,32.6758,1.507443996,0.074080658
1,102,1,C,0,B2,L1,L2,BLL,3,2,77,77,76,76,75,75,74,74,73,73,72,72,71,0,2,LC,5,1.4,NA,NA,NA,NA,NA,NA
1,103,1,O,B1,B2,L1,L2,BBLL,4,2,57,56,55,55,54,53,52,52,51,51,50,50,49,0,1,LC,5,2.4,NA,NA,NA,NA,NA,NA
1,104,3,C,B1,0,0,0,B,1,1,76,76,76,76,76,76,76,76,76,76,76,76,76,1,7,M,6,1.5,NA,NA,NA,NA,NA,NA
1,105,3,C,B1,B2,0,L2,BBL,3,2,71,71,71,71,70,70,70,70,70,70,69,69,69,1,11,DC,6,0.5,NA,NA,NA,NA,NA,NA
1,106,1,O,0,B2,0,L2,BL,2,2,75,74,74,74,73,73,73,72,72,72,72,71,71,0,0,DC,6,1,NA,NA,NA,NA,NA,NA
1,107,1,O,B1,0,L1,L2,BLL,3,2,67,67,67,67,67,66,66,66,66,65,65,65,65,0,1,NA,NA,1,2.299474517,0.0291,0.268,9.2214,0.728186911,-0.000930421
1,108,3,O,0,B2,L1,L2,BLL,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC,6,0.25,2.497694861,0.0353,0.3793,10.7504,0.859812856,0.020265362
1,109,1,O,B1,B2,0,L2,BBL,3,2,37,37,36,35,35,35,35,35,34,34,33,33,33,0,0,DC,6,0.5,2.643375532,0.0367,0.3855,10.4998,0.69669325,0.07689269
1,110,1,C,B1,0,0,L2,BL,2,2,33,33,32,32,31,30,30,30,29,28,28,28,27,0,0,DC,6,2,2.221742443,0.0401,1.3057,32.5727,0.996001967,0.243469799
1,111,1,O,B1,B2,0,L2,BBL,3,2,75,75,75,74,74,74,74,73,72,72,72,71,71,0,0,0,6,0.9,NA,NA,NA,NA,NA,NA
1,112,1,C,B1,B2,0,L2,BBL,3,2,79,79,78,78,77,76,76,75,75,74,74,73,72,1,6,DC,6,1.6,NA,NA,NA,NA,NA,NA
1,113,1,C,B1,0,0,0,B,1,1,61,60,60,60,60,59,59,58,58,58,58,57,57,0,2,M,5,2.2,1.919671587,0.0429,1.2579,29.2901,1.218521796,0.187302044
1,114,1,O,B1,0,0,L2,BL,2,2,45,45,44,44,44,44,44,44,44,44,44,44,44,0,0,DC,6,1.75,NA,NA,NA,NA,NA,NA
1,115,1,C,0,B2,L1,0,BL,2,2,80,80,80,79,79,79,79,79,78,78,78,78,77,0,2,DC,6,1.75,NA,NA,NA,NA,NA,NA
1,116,3,O,B1,0,L1,0,BL,2,2,62,61,61,61,60,60,60,59,59,58,58,58,58,0,2,DC,6,1.5,NA,NA,NA,NA,NA,NA
1,117,3,O,B1,B2,0,0,BB,2,1,72,72,72,72,71,71,71,71,71,71,71,71,71,1,7,DC,6,0.6,NA,NA,NA,NA,NA,NA
1,118,1,C,B1,B2,L1,0,BBL,3,2,46,44,43,42,40,40,39,38,37,36,35,33,32,1,22,DC,6,1.6,NA,NA,NA,NA,NA,NA
1,119,3,C,0,0,0,0,O,0,0,84,84,84,84,84,84,84,84,84,84,84,83,83,1,6,DC,6,0.5,NA,NA,NA,NA,NA,NA
1,120,3,C,B1,B2,0,L2,BBL,3,2,49,49,48,48,48,47,47,47,46,46,46,45,45,0,4,DC,6,1.9,1.524497966,0.0565,1.763,31.2074,1.34246172,0.408563642
1,121,1,O,0,B2,0,0,B,1,1,51,51,51,50,50,50,50,50,49,49,49,49,49,0,2,0,6,1.55,1.847368681,0.0241,0.2189,9.067,1.041540913,0.088505716
1,122,1,C,B1,0,L1,0,BL,2,2,33,31,30,29,28,27,26,25,25,2,423,22,21,0,3,DC,6,2.5,NA,NA,NA,NA,NA,NA
1,123,1,C,0,0,L1,0,L,1,1,51,50,49,47,45,44,42,41,39,38,37,35,34,0,2,L,5,1.1,NA,NA,NA,NA,NA,NA
1,124,1,O,B1,0,L1,0,BL,2,2,88,84,86,85,84,83,83,82,82,81,81,80,79,0,0,DC,6,1.2,2.100705845,0.028,0.28,10.0085,39.64423868,0.096121972
1,125,3,C,0,0,L1,L2,LL,2,1,71,70,68,66,64,63,62,61,60,59,58,57,56,0,0,DC,6,0.4,0.672238552,0.0502,1.5082,30.0223,1.15690234,0.143683098
1,126,3,C,B1,0,0,L2,BL,2,2,57,56,56,55,54,53,52,51,50,50,49,48,47,0,1,DC,6,1.9,NA,NA,NA,NA,NA,NA
1,127,3,C,B1,0,L1,L2,BLL,3,2,86,85,85,84,84,83,83,82,82,81,81,81,80,0,1,DC,6,0.5,1.16060469,0.0593,1.725,29.0843,2.036929023,1.433082919
1,128,3,C,0,B2,0,L2,BL,2,2,44,43,42,41,41,40,39,37,36,35,35,34,33,0,2,DC,6,1,1.097266408,0.0677,2.0557,30.3524,1.143131455,0.15750638
2,129,1,C,0,B2,0,L2,BL,2,2,42,41,40,39,38,37,36,35,34,34,33,32,31,0,4,DC,3,2.4,0.937408878,0.0537,1.6938,31.5197,2.061382922,0.626573036
2,130,1,O,0,0,0,0,O,0,0,58,56,54,52,51,50,49,48,47,45,44,43,42,0,1,0,4,0,2.855957015,0.0182,0.1886,10.3737,1.416874581,0.363880124
2,131,3,O,0,0,L1,L2,LL,2,1,49,47,46,46,45,44,43,43,42,42,41,41,40,0,1,DC,6,0.9,NA,NA,NA,NA,NA,NA
2,132,3,O,B1,B2,0,L2,BBL,3,2,85,84,84,84,84,83,83,83,83,82,82,82,82,0,2,DC,4,0.7,1.661142222,0.0348,0.2501,7.1904,1.548485259,0.268789958
2,133,1,C,0,B2,L1,L2,BLL,3,2,73,70,68,65,64,62,61,59,58,57,56,55,53,0,3,DC,6,1.5,NA,NA,NA,NA,NA,NA
2,134,1,C,0,0,0,0,O,0,0,70,66,62,59,56,54,52,50,49,48,46,44,43,0,0,0,3,0.8,1.190656307,0.0465,1.5992,34.4264,0.457004065,0.104691209
